Sigle,Titre,Credit,url,Prerequisites,,
IFT 1005,Design et développement Web,3,https://admission.umontreal.ca/cours-et-horaires/cours/ift-1005/,,,
IFT 1015,Programmation 1,3,https://admission.umontreal.ca/cours-et-horaires/cours/ift-1015/,,,
IFT 1025,Programmation 2,3,https://admission.umontreal.ca/cours-et-horaires/cours/ift-1025/,IFT1015,,
IFT 2015,Structures de données,3,https://admission.umontreal.ca/cours-et-horaires/cours/ift-2015/,"IFT1025,IFT1065",,
IFT 2035,Concepts des langages de programmation,3,https://admission.umontreal.ca/cours-et-horaires/cours/ift-2035/,IFT1025,,
IFT 1215,Introduction aux systèmes informatiques,3,https://admission.umontreal.ca/cours-et-horaires/cours/ift-1215/,,,
IFT 1227,Architecture des ordinateurs 1,3,https://admission.umontreal.ca/cours-et-horaires/cours/ift-1227/,"IFT1065,IFT1215",,
IFT 2245,Systèmes d'exploitation,3,https://admission.umontreal.ca/cours-et-horaires/cours/ift-2245/,"IFT1227,IFT2035",,
IFT 2255,Génie logiciel,3,https://admission.umontreal.ca/cours-et-horaires/cours/ift-2255/,IFT1025,,
IFT 1065,Structures discrètes en informatique,3,https://admission.umontreal.ca/cours-et-horaires/cours/ift-1065/,,,
IFT 1575,Modèles de recherche opérationnelle,3,https://admission.umontreal.ca/cours-et-horaires/cours/ift-1575/,,,
IFT 2105,Introduction à l'informatique théorique,3,https://admission.umontreal.ca/cours-et-horaires/cours/ift-2105/,"IFT1015,IFT1065",,
IFT 2125,Introduction à l'algorithmique,3,https://admission.umontreal.ca/cours-et-horaires/cours/ift-2125/,,,
MAT 1400,Calcul 1,4,https://admission.umontreal.ca/cours-et-horaires/cours/mat-1400/,,,
MAT 1600,Algèbre linéaire,4,https://admission.umontreal.ca/cours-et-horaires/cours/mat-1600/,,,
MAT 1978,Probabilités et statistique,4,https://admission.umontreal.ca/cours-et-horaires/cours/mat-1978/,"IFT1065,MAT1400",,
ANG 1903,Anglais 3 (niveau B1.1),3,https://admission.umontreal.ca/cours-et-horaires/cours/ang-1903/,ANG1902, Équivalents:ANG1903/ANG1967/ANG1850,
ANG 1913,Lire en anglais 2 (niveau B2 sciences),3,https://admission.umontreal.ca/cours-et-horaires/cours/ang-1913/,"ANG1911,ANG1904", Équivalents:ANG1974/ANG1913,
ANG 1921,Écrire en anglais 1 (niveau B1),3,https://admission.umontreal.ca/cours-et-horaires/cours/ang-1921/,ANG1902,,
ANG 1924,Rédaction académique et professionnelle,2,https://admission.umontreal.ca/cours-et-horaires/cours/ang-1924/,,Préalables : ANG1904 ou ANG1905 ou ANG1906 ou ANG1907 ou compétences équivalentes (Test de classement – site du Centre de langues),
ANG 1926,Anglais écrit pour sciences nature et santé,1,https://admission.umontreal.ca/cours-et-horaires/cours/ang-1926/,,Préalable : ANG1924 ou compétences équivalentes (Test de classement – site du Centre de langues),
ANG 1933,Expression orale académique et professionnelle,3,https://admission.umontreal.ca/cours-et-horaires/cours/ang-1933/,,Préalable : ANG1904 ou compétences équivalentes (Test de classement – site du Centre de langues),
BCM 1501,Origine biochimique de la vie,3,https://admission.umontreal.ca/cours-et-horaires/cours/bcm-1501/,,,
BCM 1503,Acides nucléiques et génétique 1,3,https://admission.umontreal.ca/cours-et-horaires/cours/bcm-1503/,BCM1501,,
BIO 1203,Introduction à la génétique,3,https://admission.umontreal.ca/cours-et-horaires/cours/bio-1203/,,,
COM 2001,Communication et mondialisation,3,https://admission.umontreal.ca/cours-et-horaires/cours/com-2001/,,,
DRT 1002S,Introduction au droit,3,https://admission.umontreal.ca/cours-et-horaires/cours/drt-1002s/,,,
ECN 1000,Principes d'économie,3,https://admission.umontreal.ca/cours-et-horaires/cours/ecn-1000/,,,
ECN 1050,Introduction à la macroéconomie,3,https://admission.umontreal.ca/cours-et-horaires/cours/ecn-1050/,,,
ECN 2230,Institutions et marchés financiers,3,https://admission.umontreal.ca/cours-et-horaires/cours/ecn-2230/,ECN1000,,
GEO 1532,SIG1 - Cartographie,3,https://admission.umontreal.ca/cours-et-horaires/cours/geo-1532/,,,
GEO 1542,Introduction à la télédétection,3,https://admission.umontreal.ca/cours-et-horaires/cours/geo-1542/,,,
LCO 2030,"Littérature, technologies et médias",3,https://admission.umontreal.ca/cours-et-horaires/cours/lco-2030/,,,
LNG 1080,"Notions de lexicologie, morphologie et sémantique",3,https://admission.umontreal.ca/cours-et-horaires/cours/lng-1080/,,,
LNG 1955,Notions générales de linguistique,3,https://admission.umontreal.ca/cours-et-horaires/cours/lng-1955/,,,
MAT 2450,Mathématiques et technologie,3,https://admission.umontreal.ca/cours-et-horaires/cours/mat-2450/,"MAT1400,MAT1600", Concomitants: MAT2450 et MAT1720 ou MAT1978,
MAT 2531,Histoire des mathématiques,3,https://admission.umontreal.ca/cours-et-horaires/cours/mat-2531/,,,
MCB 1979,Microbiologie générale,3,https://admission.umontreal.ca/cours-et-horaires/cours/mcb-1979/,,,
PHI 1130,Philosophie des sciences,3,https://admission.umontreal.ca/cours-et-horaires/cours/phi-1130/,,,
PHI 2005,Logique 2,3,https://admission.umontreal.ca/cours-et-horaires/cours/phi-2005/,,,
PHY 1651,Mécanique classique 1,3,https://admission.umontreal.ca/cours-et-horaires/cours/phy-1651/,,,
PSY 2055,Psychologie de la perception,3,https://admission.umontreal.ca/cours-et-horaires/cours/psy-2055/,PSY1006,,
PSY 2065,Processus cognitifs 1,3,https://admission.umontreal.ca/cours-et-horaires/cours/psy-2065/,PSY1006, Équivalents: PSY2065/FAS1060,
RED 2000,Rédaction administrative,3,https://admission.umontreal.ca/cours-et-horaires/cours/red-2000/,,,
REI 1010,Introduction aux relations industrielles,3,https://admission.umontreal.ca/cours-et-horaires/cours/rei-1010/,,,
IFT 2905,Interfaces personne-machine,3,https://admission.umontreal.ca/cours-et-horaires/cours/ift-2905/,IFT1025, Équivalents: IFT2905/IFT3904,
IFT 2935,Bases de données,3,https://admission.umontreal.ca/cours-et-horaires/cours/ift-2935/,IFT2015, Équivalents: IFT2935/IFT3030,
IFT 3911,Analyse et conception des logiciels,3,https://admission.umontreal.ca/cours-et-horaires/cours/ift-3911/,IFT2255, Équivalents: IFT3911/IFT3901,
IFT 3913,Qualité du logiciel et métriques,3,https://admission.umontreal.ca/cours-et-horaires/cours/ift-3913/,IFT2255, Équivalents: IFT3913/IFT3903,
IFT 2425,Introduction aux algorithmes numériques,3,https://admission.umontreal.ca/cours-et-horaires/cours/ift-2425/,"IFT1015, MAT1400,MAT1600",,
IFT 2505,Optimisation linéaire,3,https://admission.umontreal.ca/cours-et-horaires/cours/ift-2505/,MAT1600,,
IFT 3065,Langages de programmation et compilation,3,https://admission.umontreal.ca/cours-et-horaires/cours/ift-3065/,IFT2035, Équivalents: IFT3065/IFT3060,
IFT 3155,Informatique quantique,3,https://admission.umontreal.ca/cours-et-horaires/cours/ift-3155/,,"30 crédits IFT, MAT ou PHY.",
IFT 3205,Traitement du signal,3,https://admission.umontreal.ca/cours-et-horaires/cours/ift-3205/,"MAT1400,MAT1600", Équivalents: IFT3205/IFT3200,
IFT 3225,Technologie de l'Internet,3,https://admission.umontreal.ca/cours-et-horaires/cours/ift-3225/,"IFT1005,IFT2015", Équivalents: IFT3225/IFT3220,
IFT 3245,Simulation et modèles,3,https://admission.umontreal.ca/cours-et-horaires/cours/ift-3245/,"IFT2015,MAT1720,MAT1978,PHY2255", Équivalents: IFT3245/IFT3240,
IFT 3275,Sécurité informatique,3,https://admission.umontreal.ca/cours-et-horaires/cours/ift-3275/,,,
IFT 3295,Bio-informatique,3,https://admission.umontreal.ca/cours-et-horaires/cours/ift-3295/,IFT2015, Équivalents: IFT3295/IFT3290,
IFT 3325,Téléinformatique,3,https://admission.umontreal.ca/cours-et-horaires/cours/ift-3325/,IFT2245, Équivalents: IFT3325/IFT3320,
IFT 3335,Intelligence artificielle : introduction,3,https://admission.umontreal.ca/cours-et-horaires/cours/ift-3335/,, Équivalents: IFT3335/IFT3330,30 crédits de sigle IFT
IFT 3355,Infographie,3,https://admission.umontreal.ca/cours-et-horaires/cours/ift-3355/,IFT2015, Équivalents: IFT3355/IFT3350,
IFT 3375,Informatique théorique,3,https://admission.umontreal.ca/cours-et-horaires/cours/ift-3375/,, Équivalents: IFT3375/IFT3370,IFT2105 et 27 crédits de sigle IFT
IFT 3395,Fondements de l'apprentissage machine,3,https://admission.umontreal.ca/cours-et-horaires/cours/ift-3395/,"IFT2125, MAT1600,MAT1978", Équivalents: IFT3395/IFT3390,
IFT 3515,Optimisation non linéaire,3,https://admission.umontreal.ca/cours-et-horaires/cours/ift-3515/,MAT1600,,
IFT 3545,Graphes et réseaux,3,https://admission.umontreal.ca/cours-et-horaires/cours/ift-3545/,,,
IFT 3655,Modèles stochastiques,3,https://admission.umontreal.ca/cours-et-horaires/cours/ift-3655/,"IFT2015,MAT1720,MAT1978", Équivalents: IFT3655/IFT3651,
IFT 3700,Introduction à la science des données,3,https://admission.umontreal.ca/cours-et-horaires/cours/ift-3700/,"IFT2015,MAT1720,MAT1978,STT1700",,
STT 2700,Concepts et méthodes en statistique,3,https://admission.umontreal.ca/cours-et-horaires/cours/stt-2700/,"MAT1720,MAT1978,STT1700",,
IFT 3150,Projet d'informatique,3,https://admission.umontreal.ca/cours-et-horaires/cours/ift-3150/,, Équivalents: IFT3150/IFT3051,Préalable : avoir suivi 30 crédits de cours de sigle IFT
IFT 3151,Stage d'informatique,3,https://admission.umontreal.ca/cours-et-horaires/cours/ift-3151/,, Équivalents: IFT3151/IFT3052,Préalable : avoir suivi 36 crédits dans le programme
IFT 3710,Projets en aprentissage automatique,3,https://admission.umontreal.ca/cours-et-horaires/cours/ift-3710/,"IFT3700,IFT3395",,
IFT 2905,Interfaces personne-machine,3,https://admission.umontreal.ca/cours-et-horaires/cours/ift-2905/,IFT1025, Équivalents: IFT2905/IFT3904,
IFT 2935,Bases de données,3,https://admission.umontreal.ca/cours-et-horaires/cours/ift-2935/,IFT2015, Équivalents: IFT2935/IFT3030,
IFT 3911,Analyse et conception des logiciels,3,https://admission.umontreal.ca/cours-et-horaires/cours/ift-3911/,IFT2255, Équivalents: IFT3911/IFT3901,
IFT 3913,Qualité du logiciel et métriques,3,https://admission.umontreal.ca/cours-et-horaires/cours/ift-3913/,IFT2255, Équivalents: IFT3913/IFT3903,
IFT 2550,Stage d'informatique 1,3,https://admission.umontreal.ca/cours-et-horaires/cours/ift-2550/,,30 crédits IFT.,
IFT 3550,Stage d'informatique 2,3,https://admission.umontreal.ca/cours-et-horaires/cours/ift-3550/,IFT2550,,
IFT 3551,Stage d'informatique 3,3,https://admission.umontreal.ca/cours-et-horaires/cours/ift-3551/,IFT3550,,
IFT 2425,Introduction aux algorithmes numériques,3,https://admission.umontreal.ca/cours-et-horaires/cours/ift-2425/,"IFT1015, MAT1400,MAT1600",,
IFT 2505,Optimisation linéaire,3,https://admission.umontreal.ca/cours-et-horaires/cours/ift-2505/,MAT1600,,
IFT 3065,Langages de programmation et compilation,3,https://admission.umontreal.ca/cours-et-horaires/cours/ift-3065/,IFT2035, Équivalents: IFT3065/IFT3060,
IFT 3155,Informatique quantique,3,https://admission.umontreal.ca/cours-et-horaires/cours/ift-3155/,,"30 crédits IFT, MAT ou PHY.",
IFT 3205,Traitement du signal,3,https://admission.umontreal.ca/cours-et-horaires/cours/ift-3205/,"MAT1400,MAT1600", Équivalents: IFT3205/IFT3200,
IFT 3225,Technologie de l'Internet,3,https://admission.umontreal.ca/cours-et-horaires/cours/ift-3225/,"IFT1005,IFT2015", Équivalents: IFT3225/IFT3220,
IFT 3245,Simulation et modèles,3,https://admission.umontreal.ca/cours-et-horaires/cours/ift-3245/,"IFT2015,MAT1720,MAT1978,PHY2215", Équivalents: IFT3245/IFT3240,
IFT 3275,Sécurité informatique,3,https://admission.umontreal.ca/cours-et-horaires/cours/ift-3275/,,,
IFT 3295,Bio-informatique,3,https://admission.umontreal.ca/cours-et-horaires/cours/ift-3295/,IFT2015, Équivalents: IFT3295/IFT3290,
IFT 3325,Téléinformatique,3,https://admission.umontreal.ca/cours-et-horaires/cours/ift-3325/,IFT2245, Équivalents: IFT3325/IFT3320,
IFT 3335,Intelligence artificielle : introduction,3,https://admission.umontreal.ca/cours-et-horaires/cours/ift-3335/,, Équivalents: IFT3335/IFT3330,30 crédits de sigle IFT
IFT 3355,Infographie,3,https://admission.umontreal.ca/cours-et-horaires/cours/ift-3355/,IFT2015, Équivalents: IFT3355/IFT3350,
IFT 3375,Informatique théorique,3,https://admission.umontreal.ca/cours-et-horaires/cours/ift-3375/,, Équivalents: IFT3375/IFT3370,IFT2105 et 27 crédits de sigle IFT
IFT 3395,Fondements de l'apprentissage machine,3,https://admission.umontreal.ca/cours-et-horaires/cours/ift-3395/,"IFT2125,MAT1600,MAT1978,MAT1720,STT1700", Équivalents: IFT3395/IFT3390,
IFT 3515,Optimisation non linéaire,3,https://admission.umontreal.ca/cours-et-horaires/cours/ift-3515/,MAT1600,,
IFT 3545,Graphes et réseaux,3,https://admission.umontreal.ca/cours-et-horaires/cours/ift-3545/,,,
IFT 3655,Modèles stochastiques,3,https://admission.umontreal.ca/cours-et-horaires/cours/ift-3655/,"IFT2015,MAT1720,MAT1978", Équivalents: IFT3655/IFT3651,
IFT 3700,Introduction à la science des données,3,https://admission.umontreal.ca/cours-et-horaires/cours/ift-3700/,"IFT2015,MAT1720,MAT1978,STT1700",,
STT 2700,Concepts et méthodes en statistique,3,https://admission.umontreal.ca/cours-et-horaires/cours/stt-2700/,"MAT1720, MAT1978, STT1700",,
IFT 2425,Introduction aux algorithmes numériques,3,https://admission.umontreal.ca/cours-et-horaires/cours/ift-2425/,"IFT1015, MAT1400 et MAT1600",,
IFT 2505,Optimisation linéaire,3,https://admission.umontreal.ca/cours-et-horaires/cours/ift-2505/,MAT1600,,
IFT 3245,Simulation et modèles,3,https://admission.umontreal.ca/cours-et-horaires/cours/ift-3245/,"IFT2015,MAT1720,MAT1978,PHY2215", Équivalents: IFT3245/IFT3240,
IFT 3395,Fondements de l'apprentissage machine,3,https://admission.umontreal.ca/cours-et-horaires/cours/ift-3395/,"IFT2125,MAT1600,MAT1978,MAT1720,STT1700", Équivalents: IFT3395/IFT3390,
IFT 3655,Modèles stochastiques,3,https://admission.umontreal.ca/cours-et-horaires/cours/ift-3655/,"IFT2015,MAT1720,MAT1978", Équivalents: IFT3655/IFT3651,
IFT 3700,Introduction à la science des données,3,https://admission.umontreal.ca/cours-et-horaires/cours/ift-3700/,"IFT2125,MAT1600,MAT1978,MAT1720,STT1700",,
IFT 4055,Projet informatique honor,3,https://admission.umontreal.ca/cours-et-horaires/cours/ift-4055/,,30 crédits IFT.,
BIN 6002,Principes d'analyse génomique,3,https://admission.umontreal.ca/cours-et-horaires/cours/bin-6002/,,,
BIN 6003,Architecture des polymères biologiques,3,https://admission.umontreal.ca/cours-et-horaires/cours/bin-6003/,,,
IFT 6010,Intelligence artificielle,4,https://admission.umontreal.ca/cours-et-horaires/cours/ift-6010/,"IFT3330,IFT6330",,
IFT 6042,Synthèse d'images,4,https://admission.umontreal.ca/cours-et-horaires/cours/ift-6042/,,,
IFT 6141,Reconnaissance des formes,4,https://admission.umontreal.ca/cours-et-horaires/cours/ift-6141/,,,
IFT 6145,Vision tridimensionnelle,4,https://admission.umontreal.ca/cours-et-horaires/cours/ift-6145/,,,
IFT 6150,Traitements d'images,4,https://admission.umontreal.ca/cours-et-horaires/cours/ift-6150/,,,
IFT 6155,Informatique quantique,4,https://admission.umontreal.ca/cours-et-horaires/cours/ift-6155/,,,
IFT 6172,Sémantique des langages de programmation,4,https://admission.umontreal.ca/cours-et-horaires/cours/ift-6172/,,,
IFT 6180,Cryptologie : théorie et applications,4,https://admission.umontreal.ca/cours-et-horaires/cours/ift-6180/,,,
IFT 6232,Compilation,4,https://admission.umontreal.ca/cours-et-horaires/cours/ift-6232/,,,
IFT 6255,Recherche d'information,4,https://admission.umontreal.ca/cours-et-horaires/cours/ift-6255/,,,
IFT 6261,Traitement des connaissances,4,https://admission.umontreal.ca/cours-et-horaires/cours/ift-6261/,IFT3335,,
IFT 6271,Sécurité informatique,4,https://admission.umontreal.ca/cours-et-horaires/cours/ift-6271/,,,
IFT 6291,Bio-informatique génomique,4,https://admission.umontreal.ca/cours-et-horaires/cours/ift-6291/,,,
IFT 6292,Bio-informatique moléculaire,4,https://admission.umontreal.ca/cours-et-horaires/cours/ift-6292/,,,
IFT 6521,Programmation dynamique,4,https://admission.umontreal.ca/cours-et-horaires/cours/ift-6521/,"IFT2505,MAT1978,MAT1720",,
IFT 6551,Programmation en nombres entiers,4,https://admission.umontreal.ca/cours-et-horaires/cours/ift-6551/,IFT3515,,
IFT 6561,Simulation : aspects stochastiques,4,https://admission.umontreal.ca/cours-et-horaires/cours/ift-6561/,,,
IFT 2905,Interfaces personne-machine,3,https://admission.umontreal.ca/cours-et-horaires/cours/ift-2905/,IFT1025, Équivalents: IFT2905/IFT3904,
IFT 2935,Bases de données,3,https://admission.umontreal.ca/cours-et-horaires/cours/ift-2935/,IFT2015, Équivalents: IFT2935/IFT3030,
IFT 3065,Langages de programmation et compilation,3,https://admission.umontreal.ca/cours-et-horaires/cours/ift-3065/,IFT2035, Équivalents: IFT3065/IFT3060,
IFT 3151,Stage d'informatique,3,https://admission.umontreal.ca/cours-et-horaires/cours/ift-3151/,, Équivalents: IFT3151/IFT3052,Préalable : avoir suivi 36 crédits dans le programme
IFT 3155,Informatique quantique,3,https://admission.umontreal.ca/cours-et-horaires/cours/ift-3155/,,,"30 crédits IFT, MAT ou PHY."
IFT 3205,Traitement du signal,3,https://admission.umontreal.ca/cours-et-horaires/cours/ift-3205/,"MAT1400,MAT1600", Équivalents: IFT3205/IFT3200,
IFT 3225,Technologie de l'Internet,3,https://admission.umontreal.ca/cours-et-horaires/cours/ift-3225/,"IFT1005,IFT2015", Équivalents: IFT3225/IFT3220,
IFT 3275,Sécurité informatique,3,https://admission.umontreal.ca/cours-et-horaires/cours/ift-3275/,,,
IFT 3295,Bio-informatique,3,https://admission.umontreal.ca/cours-et-horaires/cours/ift-3295/,IFT2015, Équivalents: IFT3295/IFT3290,
IFT 3325,Téléinformatique,3,https://admission.umontreal.ca/cours-et-horaires/cours/ift-3325/,IFT2245, Équivalents: IFT3325/IFT3320,
IFT 3335,Intelligence artificielle : introduction,3,https://admission.umontreal.ca/cours-et-horaires/cours/ift-3335/,, Équivalents: IFT3335/IFT3330,30 crédits de sigle IFT
IFT 3355,Infographie,3,https://admission.umontreal.ca/cours-et-horaires/cours/ift-3355/,IFT2015, Équivalents: IFT3355/IFT3350,
IFT 3375,Informatique théorique,3,https://admission.umontreal.ca/cours-et-horaires/cours/ift-3375/,IFT2105, Équivalents: IFT3375/IFT3370,
IFT 3515,Optimisation non linéaire,3,https://admission.umontreal.ca/cours-et-horaires/cours/ift-3515/,MAT1600,,
IFT 3545,Graphes et réseaux,3,https://admission.umontreal.ca/cours-et-horaires/cours/ift-3545/,,,
IFT 3710,Projets en aprentissage automatique,3,https://admission.umontreal.ca/cours-et-horaires/cours/ift-3710/,"IFT3700,IFT3395",,
IFT 3911,Analyse et conception des logiciels,3,https://admission.umontreal.ca/cours-et-horaires/cours/ift-3911/,IFT2255, Équivalents: IFT3911/IFT3901,
IFT 3913,Qualité du logiciel et métriques,3,https://admission.umontreal.ca/cours-et-horaires/cours/ift-3913/,IFT2255, Équivalents: IFT3913/IFT3903,
STT 2700,Concepts et méthodes en statistique,3,https://admission.umontreal.ca/cours-et-horaires/cours/stt-2700/,"MAT1720,MAT1978,STT1700",,
